Key,en,hi,ar,es,fr
All Permissions,All Permissions,सभी अनुमतियाँ,جميع الأذونات,Todos los permisos,Toutes les autorisations
Details,Details,विवरण,تفاصيل,Detalles,Détails
App Version,App Version,एप्लिकेशन वेरीज़न,إصدار التطبيق,Versión de la aplicación,Version de l'application
Android App URL,Android App URL,एंड्रॉइड ऐप यूआरएल,عنوان URL لتطبيق Android,URL de la aplicación de Android,URL de l'application Android
iOS App URL,iOS App URL,आईओएस ऐप यूआरएल,عنوان URL لتطبيق iOS,URL de la aplicación iOS,URL de l'application iOS
Messages,Messages,संदेशों,رسائل,Mensajes,Messages
Reply,Reply,जवाब,رد,Responder,Répondre
Not Replied,Not Replied,उत्तर नहीं दिया गया,لم يتم الرد,No respondido,Pas de réponse
Replied,Replied,उत्तर दिया,أجاب,Respondió,A répondu
Reply Message,Reply Message,प्रतिक्रिया संदेश,رسالة الرد,Responder mensaje,Message de réponse
Sent,Sent,भेजा,مرسل,Enviado,Envoyé
Policy Link,Policy Link*,नीति लिंक*,رابط السياسة*,Enlace de política*,Lien vers la politique*
Total Users,Total Users,कुल उपयोगकर्ता,إجمالي المستخدمين,Usuarios totales,Nombre total d'utilisateurs
Total,Total,कुल,المجموع,Total,Total
Verified Users,Verified Users,सत्यापित उपयोगकर्ता,المستخدمون الذين تم التحقق منهم,Usuarios verificados,Utilisateurs vérifiés
Total Schedules,Total Schedules,कुल अनुसूचियाँ,إجمالي الجداول,Horarios totales,Horaires totaux
Active Schedules,Active Schedules,सक्रिय अनुसूचियाँ,الجداول الزمنية النشطة,Horarios activos,Horaires actifs
Banned Schedules,Banned Schedules,प्रतिबंधित अनुसूचियां,المواعيد المحظورة,Horarios prohibidos,Horaires interdits
Total Videos,Total Videos,कुल वीडियो,إجمالي مقاطع الفيديو,Vídeos totales,Vidéos totales
Total Announcements,Total Announcements,कुल घोषणाएँ,إجمالي الإعلانات,Anuncios totales,Total des annonces
Active Announcements,Active Announcements,सक्रिय घोषणाएँ,الإعلانات النشطة,Anuncios activos,Annonces actives
Banned Announcements,Banned Announcements,प्रतिबंधित घोषणाएँ,اعلانات محظورة,Anuncios prohibidos,Annonces interdites
Total Subscribers,Total Subscribers,कुल सदस्य,إجمالي المشتركين,Suscriptores totales,Nombre total d'abonnés
This Month,This Month,इस महीने,هذا الشهر,este mes,Ce mois-ci
This Year,This Year,इस साल,هذا العام,este año,Cette année
Total Messages,Total Messages,कुल संदेश,إجمالي الرسائل,Mensajes totales,Total des messages
Replied Messages,Replied Messages,उत्तर दिए गए संदेश,تم الرد على الرسائل,Mensajes respondidos,Messages répondus
Unanswered Messages,Unanswered Messages,अनुत्तरित संदेश,رسائل لم يتم الرد عليها,Mensajes sin respuesta,Messages sans réponse
Total Teams,Total Teams,कुल टीमें,مجموع الفرق,Equipos totales,Total des équipes
Extensions,Extensions,एक्सटेंशन,ملحقات,Extensiones,Rallonges
Instructions,Instructions,निर्देश,تعليمات,Instrucciones,Instructions
Import,Import,आयात,يستورد,Importar,Importer
Download,Download,डाउनलोड करना,تحميل,Descargar,Télécharger
Code,Code,कोड,شفرة,Código,Code
Language Keywords of English,Language Keywords of English,अंग्रेजी के भाषाई कीवर्ड,الكلمات الرئيسية للغة الإنجليزية,Palabras clave del idioma inglés,Mots-clés de langue anglais
Password Change,Password Change,पासवर्ड बदलें,تغيير كلمة المرور,Cambio de contraseña,Changement de mot de passe
Save & Change,Save & Change,परिवर्तन को संग्रहित करें,حفظ وتغيير,Guardar y cambiar,Enregistrer et modifier
Country,Country,देश,دولة,País,Pays
State,State,राज्य,ولاية,Estado,État
City,City,शहर,مدينة,Ciudad,Ville
Browser Push Notification Configuration,Browser Push Notification Configuration,ब्राउज़र पुश अधिसूचना कॉन्फ़िगरेशन,تكوين إشعارات المتصفح,Configuración de notificaciones push del navegador,Configuration des notifications push du navigateur
Method,Method,तरीका,طريقة,Método,Méthode
Instance ID,Instance ID,उदाहरण आईडी,معرف المثيل,ID de instancia,ID d'instance
Primary key,Primary key,प्राथमिक कुंजी,المفتاح الأساسي,clave primaria,Clé primaire
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,प्रसारण/आंतरिक अधिसूचना विन्यास,البث/تكوين الإخطار الداخلي,Configuración de transmisión/notificación interna,Configuration de diffusion/notification interne
APP ID,APP ID,एपीपी आईडी,معرف التطبيق,ID DE APLICACIÓN,Identifiant de l'application
Secret key,Secret key,गुप्त कुंजी,المفتاح السري,clave secreta,Clé secrète
Cluster,Cluster,झुंड,تَجَمَّع,Grupo,Grappe
Notification Body,Notification Body,अधिसूचना निकाय,هيئة الإخطار,Organismo de notificación,Corps de notification
Latest Notifications,Latest Notifications,नवीनतम सूचनाएं,أحدث الإخطارات,Últimas notificaciones,Dernières notifications
Body,Body,शरीर,جسم,Cuerpo,Corps
Setup Daily Schedules,Setup Daily Schedules,दैनिक कार्यक्रम सेटअप करें,إعداد الجداول اليومية,Configurar horarios diarios,Configurer les horaires quotidiens
Section Title,Section Title,अनुभाग शीर्षक,عنوان القسم,Título de la sección,Titre de la section
Section Icon,Section Icon,अनुभाग चिह्न,أيقونة القسم,Icono de sección,Icône de section
Live,Live,रहना,يعيش,Vivir,En direct
Add Days,Add Days,दिन जोड़ें,إضافة أيام,Agregar días,Ajouter des jours
Version,Version,संस्करण,إصدار,Versión,Version
App Name,App Name,ऐप का नाम,اسم التطبيق,Nombre de la aplicación,Nom de l'application
App Environment,App Environment,ऐप पर्यावरण,بيئة التطبيق,Entorno de aplicación,Environnement de l'application
App Debug,App Debug,ऐप डीबग,تصحيح أخطاء التطبيق,Depuración de aplicaciones,Débogage de l'application
App Mode,App Mode,ऐप मोड,وضع التطبيق,Modo de aplicación,Mode application
Database Connection,Database Connection,डेटाबेस कनेक्शन,اتصال قاعدة البيانات,Conexión de base de datos,Connexion à la base de données
Database Host,Database Host,डेटाबेस होस्ट,مضيف قاعدة البيانات,Host de base de datos,Hôte de base de données
Database Port,Database Port,डेटाबेस पोर्ट,منفذ قاعدة البيانات,Puerto de base de datos,Port de base de données
Database Name,Database Name,डेटाबेस का नाम,اسم قاعدة البيانات,Nombre de la base de datos,Nom de la base de données
Database Username,Database Username,डेटाबेस उपयोगकर्ता नाम,اسم مستخدم قاعدة البيانات,Nombre de usuario de la base de datos,Nom d'utilisateur de la base de données
PHP Version,PHP Version,पीएचपी संस्करण,نسخة PHP,Versión PHP,Version PHP
Laravel Version,Laravel Version,लारवेल संस्करण,نسخة لارافيل,Versión Laravel,Version Laravel
Server Software,Server Software,सर्वर सॉफ्टवेयर,برامج الخادم,Software de servidor,Logiciel serveur
Server IP Address,Server IP Address,सर्वर आईपी पता,عنوان IP للخادم,Dirección IP del servidor,Adresse IP du serveur
Server Protocol,Server Protocol,सर्वर प्रोटोकॉल,بروتوكول الخادم,Protocolo de servidor,Protocole de serveur
Timezone,Timezone,समयक्षेत्र,المنطقة الزمنية,Zona horaria,Fuseau horaire
Email Send Method,Email Send Method,ईमेल भेजने की विधि,طريقة إرسال البريد الإلكتروني,Método de envío de correo electrónico,Méthode d'envoi d'e-mail
Send Mail,Send Mail,मेल भेजने,إرسال البريد,Enviar correo,Envoyer un courrier
Port,Port,पत्तन,ميناء,Puerto,Port
Encryption,Encryption,कूटलेखन,التشفير,Cifrado,Cryptage
Email Body,Email Body,ईमेल बॉडी,هيئة البريد الإلكتروني,Cuerpo del correo electrónico,Corps de l'e-mail
Page Name,Page Name,पेज का नाम,اسم الصفحة,Nombre de la página,Nom de la page
Element,Element,तत्व,عنصر,Elemento,Élément
Edit About Item,Edit About Item,आइटम के बारे में संपादित करें,تحرير حول العنصر,Editar sobre el artículo,Modifier à propos de l'élément
Announcement Category,Announcement Category,घोषणा श्रेणी,فئة الإعلان,Categoría de anuncio,Catégorie d'annonce
Add Category,Add Category,श्रेणी जोड़ना,أضف فئة,Agregar categoría,Ajouter une catégorie
Setup Announcement Section,Setup Announcement Section,सेटअप घोषणा अनुभाग,قسم إعلان الإعداد,Sección de anuncio de configuración,Section Annonce de configuration
Login Heading,Login Heading,लॉगिन शीर्षक,عنوان تسجيل الدخول,Iniciar sesión,Rubrique Connexion
Login Sub Heading,Login Sub Heading,उपशीर्षक लॉगिन करें,تسجيل الدخول العنوان الفرعي,Subtítulo de inicio de sesión,Sous-titre de connexion
Register Heading,Register Heading,शीर्षक पंजीकृत करें,تسجيل العنوان,Registro Encabezado,En-tête du registre
Register Sub Heading,Register Sub Heading,उपशीर्षक पंजीकृत करें,تسجيل العنوان الفرعي,Registrar subtítulo,Sous-titre du registre
Forgot Heading,Forgot Heading,शीर्षक भूल गये,نسيت العنوان,Olvidé el rumbo,Titre oublié
Forgot Sub Heading,Forgot Sub Heading,उपशीर्षक भूल गये,نسيت العنوان الفرعي,Olvidé el subtítulo,Sous-titre oublié
Edit Banner,Edit Banner,बैनर संपादित करें,تحرير لافتة,Editar banner,Modifier la bannière
Brand Section,Brand Section,ब्रांड अनुभाग,قسم العلامات التجارية,Sección de marca,Section Marque
Edit Brand,Edit Brand,ब्रांड संपादित करें,تحرير العلامة التجارية,Editar marca,Modifier la marque
Location Title,Location Title,स्थान शीर्षक,عنوان الموقع,Título de la ubicación,Titre du lieu
Location,Location,जगह,موقع,Ubicación,Emplacement
Call Title,Call Title,कॉल शीर्षक,عنوان المكالمة,Título de la llamada,Titre de l'appel
Office Hour,Office Hour,कार्यालय समय,ساعة المكتب,Horario de oficina,Heure de bureau
Email Title,Email Title,ईमेल शीर्षक,عنوان البريد الإلكتروني,Título del correo electrónico,Titre de l'e-mail
Footer Text,Footer Text,पादलेख पाठ,نص التذييل,Texto de pie de página,Texte du pied de page
Short Description,Short Description,संक्षिप्त वर्णन,وصف قصير,Breve descripción,Brève description
Mobile,Mobile,गतिमान,متحرك,Móvil,Mobile
Support,Support,सहायता,يدعم,Apoyo,Soutien
Newsletter Title,Newsletter Title,न्यूज़लैटर शीर्षक,عنوان النشرة الإخبارية,Título del boletín,Titre du bulletin d'information
Edit Social Icon,Edit Social Icon,सामाजिक चिह्न संपादित करें,تحرير أيقونة الاجتماعية,Editar icono social,Modifier l'icône sociale
Edit Gallery Item,Edit Gallery Item,गैलरी आइटम संपादित करें,تحرير عنصر المعرض,Editar elemento de la galería,Modifier l'élément de la galerie
Edit How We Do,Edit How We Do,हम कैसे करते हैं संपादित करें,تحرير كيف نفعل,Editar cómo lo hacemos,Modifier notre façon de faire
Designation,Designation,पद का नाम,تعيين,Designación,Désignation
Edit Team Item,Edit Team Item,टीम आइटम संपादित करें,تحرير عنصر الفريق,Editar elemento del equipo,Modifier un élément d'équipe
Rating,Rating,रेटिंग,تصنيف,Clasificación,Notation
Edit Testimonial Item,Edit Testimonial Item,प्रशंसापत्र आइटम संपादित करें,تحرير عنصر الشهادة,Editar artículo de testimonio,Modifier l'élément de témoignage
Edit Video Item,Edit Video Item,वीडियो आइटम संपादित करें,تحرير عنصر الفيديو,Editar elemento de vídeo,Modifier l'élément vidéo
Created At,Created At,पर बनाया गया,تم الإنشاء في,Creado en,Créé à
Support Chat,Support Chat,समर्थन चैट,دعم الدردشة,Chat de soporte,Chat d'assistance
Ticket ID,Ticket ID,टिकट आईडी,معرف التذكرة,ID del billete,Identifiant du billet
Support Ticket,Support Ticket,समर्थन टिकट,تذكرة الدعم,Boleto de soporte,Billet d'assistance
All Ticket,All Ticket,सभी टिकट,جميع التذاكر,Todos los boletos,Tous les billets
User Overview,User Overview,उपयोगकर्ता अवलोकन,نظرة عامة على المستخدم,Descripción general del usuario,Présentation de l'utilisateur
Login as Member,Login as Member,सदस्य के रूप में लॉगिन करें,تسجيل الدخول كعضو,Iniciar sesión como miembro,Connectez-vous en tant que membre
Email Logs,Email Logs,ईमेल लॉग्स,سجلات البريد الإلكتروني,Registros de correo electrónico,Journaux de courrier électronique
Last Login,Last Login,आखरी लॉगइन,تسجيل الدخول الأخير,Último inicio de sesión,Dernière connexion
Information of User,Information of User,उपयोगकर्ता की जानकारी,معلومات المستخدم,Información del Usuario,Informations de l'utilisateur
Zip,Zip,ज़िप,أَزِيز,Cremallera,Fermeture éclair
User,User,उपयोगकर्ता,مستخدم,Usuario,Utilisateur
Select Users,Select Users,उपयोगकर्ता चुनें,حدد المستخدمين,Seleccionar usuarios,Sélectionnez les utilisateurs
all,all,सभी,الجميع,todo,tous
banned,banned,पर प्रतिबंध लगा दिया,محظور,prohibido,interdit
User Login Logs,User Login Logs,उपयोगकर्ता लॉगिन लॉग,سجلات دخول المستخدم,Registros de inicio de sesión de usuario,Journaux de connexion des utilisateurs
IP,IP,आई पी,الملكية الفكرية,IP,IP
MAC,MAC,मैक,ماك,IMPERMEABLE,MAC
Browser,Browser,ब्राउज़र,المتصفح,Navegador,Navigateur
OS,OS,ओएस,نظام التشغيل,SO,Système d'exploitation
Login at,Login at,पर लॉगिन करें,تسجيل الدخول في,Inicia sesión en,Connectez-vous à
Site Base Color,Site Base Color,साइट का आधार रंग,اللون الأساسي للموقع,Color base del sitio,Couleur de base du site
Site Secondary Color,Site Secondary Color,साइट द्वितीयक रंग,اللون الثانوي للموقع,Color secundario del sitio,Couleur secondaire du site
Site Name,Site Name,जगह का नाम,اسم الموقع,Nombre del sitio,Nom du site
Site Title,Site Title,घटनास्थल शीर्षक,عنوان الموقع,Título del sitio,Titre du site
OTP Expiration,OTP Expiration,ओटीपी समाप्ति,انتهاء صلاحية OTP,Vencimiento de la OTP,Expiration du OTP
Seconds,Seconds,सेकंड,ثواني,Artículos de segunda clase,Secondes
Web Version,Web Version,वेब संस्करण,نسخة الويب,Versión Web,Version Web
Activation Settings,Activation Settings,सक्रियण सेटिंग्स,إعدادات التنشيط,Configuración de activación,Paramètres d'activation
User Registration,User Registration,उपयोगकर्ता पंजीकरण,تسجيل المستخدم,Registro de usuario,Inscription des utilisateurs
Secure Password,Secure Password,सुरक्षित पासवर्ड,كلمة مرور آمنة,Contraseña segura,Mot de passe sécurisé
Agree Policy,Agree Policy,सहमत नीति,الموافقة على السياسة,Política de acuerdo,Accepter la politique
Force SSL,Force SSL,एसएसएल को बाध्य करें,فرض SSL,Forzar SSL,Forcer SSL
Email Verification,Email Verification,ईमेल सत्यापन,التحقق من البريد الإلكتروني,Verificación de correo electrónico,Vérification par e-mail
Email Notification,Email Notification,ईमेल अधिसूचना,إشعار البريد الإلكتروني,Notificación por correo electrónico,Notification par courrier électronique
Logo (Light Version),Logo (Light Version),लोगो (हल्का संस्करण),الشعار (النسخة الخفيفة),Logotipo (versión ligera),Logo (version légère)
Logo (Dark Version),Logo (Dark Version),लोगो (डार्क संस्करण),الشعار (الإصدار الداكن),Logotipo (versión oscura),Logo (version sombre)
Favicon (Light Version),Favicon (Light Version),फ़ेविकॉन (लाइट संस्करण),الأيقونة المفضلة (الإصدار الخفيف),Favicon (versión ligera),Icône de favori (version légère)
Favicon (Dark Version),Favicon (Dark Version),फ़ेविकॉन (डार्क संस्करण),الأيقونة المفضلة (الإصدار الداكن),Favicon (versión oscura),Icône de favori (version sombre)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),खोज इंजन अनुकूलन (एसईओ),تحسين محركات البحث (SEO),Optimización de motores de búsqueda (SEO),Optimisation des moteurs de recherche (SEO)
Unauthorized,Unauthorized,अनधिकृत,غير مصرح به,No autorizado,Non autorisé
Back To Home,Back To Home,घर वापिस जा रहा हूँ,العودة إلى المنزل,Volver a casa,Retour à la maison
Forbidden,Forbidden,निषिद्ध,مُحرَّم,Prohibido,Interdit
Public,Public,जनता,عام,Público,Publique
Categories,Categories,श्रेणियाँ,فئات,Categorías,Catégories
Read More,Read More,और पढ़ें,اقرأ المزيد,Leer más,En savoir plus
Recent Posts,Recent Posts,हाल के पोस्ट,المشاركات الأخيرة,Publicaciones recientes,Messages récents
Your Name,Your Name,आपका नाम,اسمك,Su nombre,Votre nom
Subject,Subject,विषय,موضوع,Sujeto,Sujet
Your Email,Your Email,आपका ईमेल,البريد الإلكتروني الخاص بك,Tu correo electrónico,Votre e-mail
Message,Message,संदेश,رسالة,Mensaje,Message
Send Message,Send Message,मेसेज भेजें,أرسل رسالة,Enviar mensaje,Envoyer un message
Change,Change,परिवर्तन,يتغير,Cambiar,Changement
Buffering,Buffering,बफ़र हो,التخزين المؤقت,Almacenamiento en búfer,Mise en mémoire tampon
Chat with RJ,Chat with RJ,आरजे से चैट करें,الدردشة مع RJ,Chatea con RJ,Discutez avec RJ
Live Now,Live Now,अब सीधा प्रसारण हो रहा है,عش الآن,Vive ahora,Vivez maintenant
Next Show,Next Show,अगला शो,العرض القادم,Próximo espectáculo,Spectacle suivant
Show Time,Show Time,शो टाइम,موعد العرض,Tiempo de la funcion,Afficher l'heure
Already Have An Account?,Already Have An Account?,क्या आपके पास पहले से एक खाता मौजूद है?,هل لديك حساب بالفعل؟,¿Ya tienes una cuenta?,Vous avez déjà un compte ?
Login Now,Login Now,अभी लॉगिन करें,تسجيل الدخول الآن,Iniciar sesión ahora,Connectez-vous maintenant
Don,Don,अगुआ,اِتَّشَح,Don,Enfiler
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,ओटीपी (वन टाइम पासवर्ड) प्राप्त करने के लिए कृपया अपना ईमेल पता जांचें।,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة المرور لمرة واحدة).,Verifique su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).,Veuillez vérifier votre adresse e-mail pour obtenir l'OTP (mot de passe à usage unique).
You can resend the code after,You can resend the code after,आप इसके बाद कोड दोबारा भेज सकते हैं,يمكنك إعادة إرسال الرمز بعد ذلك,Puedes reenviar el código después,Vous pouvez renvoyer le code après
time,time,समय,وقت,tiempo,temps
I have read and agreed with the,I have read and agreed with the,मैंने इसे पढ़ लिया है और इससे सहमत हूं,لقد قرأت ووافقت على,He leído y estoy de acuerdo con el,J'ai lu et j'accepte le
"Terms Of Use , Privacy Policy","Terms Of Use , Privacy Policy",उपयोग की शर्ते प्राइवेसि पॉलिसी,شروط الاستخدام، سياسة الخصوصية,"Términos de uso, Política de privacidad","Conditions d'utilisation, Politique de confidentialité"
Register Now,Register Now,अभी पंजीकरण करें,سجل الآن,Regístrese ahora,Inscrivez-vous maintenant
Set New Password,Set New Password,नया पासवर्ड सेट करें,تعيين كلمة مرور جديدة,Establecer nueva contraseña,Définir un nouveau mot de passe
Please enter your new password.,Please enter your new password.,कृपया अपना नया पासवर्ड दर्ज करें.,الرجاء إدخال كلمة المرور الجديدة.,Por favor ingrese su nueva contraseña.,Veuillez saisir votre nouveau mot de passe.
Confirm,Confirm,पुष्टि करना,يتأكد,Confirmar,Confirmer
Account Authorization,Account Authorization,खाता प्राधिकरण,ترخيص الحساب,Autorización de cuenta,Autorisation de compte
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,अपना खाता सत्यापित करने की आवश्यकता है. कृपया प्राधिकरण कोड प्राप्त करने के लिए अपना मेल इनबॉक्स जांचें,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.,Besoin de vérifier votre compte. Veuillez vérifier votre boîte de réception pour obtenir le code d'autorisation
You can resend,You can resend,आप पुनः भेज सकते हैं,يمكنك إعادة الإرسال,puedes reenviar,Vous pouvez renvoyer
Back to,Back to,वापस जाएँ,العودة إلى,Volver a,Retour à
Home,Home,घर,بيت,Hogar,Maison
About,About,के बारे में,عن,Acerca de,À propos
Gallery,Gallery,गैलरी,معرض,Galería,Galerie
Team,Team,टीम,فريق,Equipo,Équipe
Blog,Blog,ब्लॉग,مدونة,Blog,Blogue
Contact,Contact,संपर्क,اتصال,Contacto,Contact
Don't Have An Account?,Don't Have An Account?,कोई खाता नहीं है?,ليس لديك حساب؟,¿No tienes una cuenta?,Vous n'avez pas de compte ?
Current Password,Current Password,वर्तमान पासवर्ड,كلمة المرور الحالية,Contraseña actual,Mot de passe actuel
Logout,Logout,लॉग आउट,تسجيل الخروج,Cerrar sesión,Déconnexion
Type here,Type here,यहाँ टाइप करें,اكتب هنا,Escribe aquí,Tapez ici
Enter Name,Enter Name,नाम दर्ज करें,أدخل الاسم,Introduzca el nombre,Entrez le nom
Enter Email,Enter Email,ईमेल दर्ज करें,أدخل البريد الإلكتروني,Ingrese el correo electrónico,Entrez l'e-mail
Write Here,Write Here,यहाँ लिखें,اكتب هنا,Escribe aquí,Écrivez ici
Basic Settings fetched successfully!,Basic Settings fetched successfully!,बुनियादी सेटिंग्स सफलतापूर्वक लाई गईं!,تم جلب الإعدادات الأساسية بنجاح!,¡La configuración básica se obtuvo correctamente!,Paramètres de base récupérés avec succès !
Languages fetched successfully!,Languages fetched successfully!,भाषाएँ सफलतापूर्वक प्राप्त हुईं!,تم جلب اللغات بنجاح!,¡Idiomas recuperados exitosamente!,Langues récupérées avec succès !
Onboard Screen fetched successfully!,Onboard Screen fetched successfully!,ऑनबोर्ड स्क्रीन सफलतापूर्वक लाई गई!,تم جلب الشاشة الموجودة على اللوحة بنجاح!,¡La pantalla integrada se obtuvo correctamente!,Écran embarqué récupéré avec succès !
Sub Title,Sub Title,उपशीर्षक,العنوان الفرعي,Subtítulo,Sous-titre
Team Data fetched successfully!,Team Data fetched successfully!,टीम डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات الفريق بنجاح!,¡Los datos del equipo se obtuvieron con éxito!,Données d'équipe récupérées avec succès !
Gallery Data fetched successfully!,Gallery Data fetched successfully!,गैलरी डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات المعرض بنجاح!,¡Los datos de la galería se obtuvieron correctamente!,Données de la galerie récupérées avec succès !
Show Schedules Data fetched successfully!,Show Schedules Data fetched successfully!,शेड्यूल दिखाएं डेटा सफलतापूर्वक प्राप्त हुआ!,إظهار بيانات الجداول التي تم جلبها بنجاح!,Mostrar horarios ¡Los datos se obtuvieron correctamente!,Afficher les données des horaires récupérées avec succès !
Live Show Data fetched successfully!,Live Show Data fetched successfully!,लाइव शो डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات العرض المباشر بنجاح!,¡Los datos del show en vivo se obtuvieron exitosamente!,Données du spectacle en direct récupérées avec succès !
Team Item Edit,Team Item Edit,टीम आइटम संपादित करें,تحرير عنصر الفريق,Editar elemento de equipo,Élément d'équipe Modifier
Announcement,Announcement,घोषणा,إعلان,Anuncio,Annonce
Announcement Details,Announcement Details,घोषणा विवरण,تفاصيل الإعلان,Detalles del anuncio,Détails de l'annonce
credentials,credentials,साख,أوراق اعتماد,cartas credenciales,informations d'identification
User doesn,User doesn,उपयोगकर्ता नहीं करता,المستخدم لا,El usuario no,L'utilisateur ne
Invalid Request. Please try again.,Invalid Request. Please try again.,अमान्य अनुरोध। कृपया पुन: प्रयास करें।,طلب غير صالح. يرجى المحاولة مرة أخرى.,Solicitud no válida. Por favor inténtalo de nuevo.,Demande invalide. Veuillez réessayer.
Something went wrong! Please try again.,Something went wrong! Please try again.,कुछ गलत हो गया! कृपया पुन: प्रयास करें।,حدث خطأ ما! يرجى المحاولة مرة أخرى.,¡Algo salió mal! Por favor inténtalo de nuevo.,Quelque chose s'est mal passé ! Veuillez réessayer.
Cookie Allowed Success,Cookie Allowed Success,कुकी ने सफलता की अनुमति दी,نجاح ملفات تعريف الارتباط المسموح بها,Cookie permitida exitosamente,Cookie autorisé avec succès
Cookie Declined,Cookie Declined,कुकी अस्वीकृत,تم رفض ملف تعريف الارتباط,Cookie rechazada,Cookie refusé
Allow,Allow,अनुमति दें,يسمح,Permitir,Permettre
Decline,Decline,गिरावट,انخفاض,Rechazar,Déclin
Send OTP,Send OTP,ओटीपी भेजें,أرسل كلمة مرور لمرة واحدة,Enviar OTP,Envoyer OTP
Already Have An Account,Already Have An Account,क्या आपके पास पहले से एक खाता मौजूद है,لديك حساب بالفعل,Ya tienes una cuenta,Vous avez déjà un compte
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,पासवर्ड रीसेट लिंक आपके ईमेल पते पर भेज दिया गया है।,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.,Lien de réinitialisation du mot de passe envoyé à votre adresse e-mail.
admin.login,admin.login,व्यवस्थापक.लॉगिन,admin.login,administrador.iniciar sesión,admin.connexion
Successfully updated password. Please login,Successfully updated password. Please login,पासवर्ड सफलतापूर्वक अपडेट किया गया. कृपया लॉगिन करें,تم تحديث كلمة المرور بنجاح. الرجاء تسجيل الدخول,Contraseña actualizada correctamente. Por favor inicia sesión,Mot de passe mis à jour avec succès. Veuillez vous connecter
Schedule Section updated successfully!,Schedule Section updated successfully!,शेड्यूल अनुभाग सफलतापूर्वक अपडेट किया गया!,تم تحديث قسم الجدول بنجاح!,¡La sección de programación se actualizó exitosamente!,Section Calendrier mise à jour avec succès !
Event Already Exists!,Event Already Exists!,इवेंट पहले से मौजूद है!,الحدث موجود بالفعل!,¡El evento ya existe!,L'événement existe déjà !
Schedule added successfully!,Schedule added successfully!,शेड्यूल सफलतापूर्वक जोड़ा गया!,تمت إضافة الجدول بنجاح!,¡Programación agregada exitosamente!,Calendrier ajouté avec succès !
Schedule updated successfully!,Schedule updated successfully!,शेड्यूल सफलतापूर्वक अपडेट किया गया!,تم تحديث الجدول بنجاح!,Horario actualizado exitosamente!,Calendrier mis à jour avec succès !
Schedule deleted successfully!,Schedule deleted successfully!,शेड्यूल सफलतापूर्वक हटा दिया गया!,تم حذف الجدول بنجاح!,¡Programación eliminada exitosamente!,Planification supprimée avec succès !
Schedule record not found in our system.,Schedule record not found in our system.,हमारे सिस्टम में शेड्यूल रिकॉर्ड नहीं मिला.,لم يتم العثور على سجل الجدول الزمني في نظامنا.,Registro de programación no encontrado en nuestro sistema.,Enregistrement d'horaire introuvable dans notre système.
Schedule Live Status updated successfully!,Schedule Live Status updated successfully!,शेड्यूल लाइव स्टेटस सफलतापूर्वक अपडेट किया गया!,تم تحديث حالة الجدولة المباشرة بنجاح!,¡Programar estado en vivo actualizado exitosamente!,Le statut du programme en direct a été mis à jour avec succès !
Day Already Exists!,Day Already Exists!,दिन पहले से ही मौजूद है!,اليوم موجود بالفعل!,¡El día ya existe!,Le jour existe déjà !
Day Saved Successfully!,Day Saved Successfully!,दिन सफलतापूर्वक बचाया गया!,تم حفظ اليوم بنجاح!,¡Día guardado con éxito!,Journée enregistrée avec succès !
Day Updated Successfully!,Day Updated Successfully!,दिन सफलतापूर्वक अपडेट किया गया!,تم تحديث اليوم بنجاح!,¡Día actualizado con éxito!,Journée mise à jour avec succès !
Day record not found in our system.,Day record not found in our system.,हमारे सिस्टम में दिन का रिकॉर्ड नहीं मिला.,سجل اليوم غير موجود في نظامنا.,Registro de día no encontrado en nuestro sistema.,Enregistrement journalier introuvable dans notre système.
Something went wrong!. Please try again.,Something went wrong!. Please try again.,कुछ गलत हो गया!। कृपया पुन: प्रयास करें।,حدث خطأ ما!. يرجى المحاولة مرة أخرى.,¡Algo salió mal!. Por favor inténtalo de nuevo.,Quelque chose s'est mal passé !. Veuillez réessayer.
Day status updated successfully!,Day status updated successfully!,दिन की स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة اليوم بنجاح!,¡El estado del día se actualizó exitosamente!,Statut du jour mis à jour avec succès !
Day deleted successfully!,Day deleted successfully!,दिन सफलतापूर्वक हटा दिया गया!,تم حذف اليوم بنجاح!,¡Día eliminado exitosamente!,Jour supprimé avec succès !
